Fac1,Fac2,Frequency Fac1-Fac2 pair
dFac-1296005574,vcFac--31207405,1
dFac-261874627,vcFac--615803654,1
dFac--1399374457,vcFac--1165594343,1
dFac-903100997,vcFac-1085181026,1
dFac--529703125,vcFac--415254660,1
dFac-718867231,vcFac-1556990684,1
dFac--478627038,vcFac--1050290419,1
dFac--478627038,vcFac--1389275851,1
dFac-602620307,vcFac-455232299,1
dFac-155696395,vcFac--1181888648,1
dFac-155696395,vcFac--1781485739,1
dFac-155696395,vcFac--1389275851,1
dFac-1941319939,vcFac--1781485739,1
dFac--1375432969,vcFac--1035299693,1
dFac--1375432969,vcFac--1389275851,1
dFac--1375432969,vcFac-1085181026,1
dFac-404956852,vcFac--366127121,1
dFac--626454608,vcFac--366127121,1
dFac--350830719,vcFac--366127121,1
dFac--528989944,vcFac-401358381,1
dFac-1965938000,vcFac-1556990684,1
dFac--529703125,vcFac-1085181026,1
dFac--2099007449,vcFac--1165594343,1
dFac--2099007449,vcFac--2063666527,1
dFac--308529784,vcFac--1606418595,1
dFac--308529784,vcFac-401358381,1
dFac-62670046,vcFac--1389275851,1
dFac--623515856,vcFac--1389275851,1
dFac--1626507833,vcFac--1389275851,1
dFac-646582947,vcFac--1389275851,1
dFac-2017987120,vcFac-401358381,1
dFac-2017987120,vcFac-1085181026,1
dFac--1633187748,vcFac-1828845079,1
dFac-1979039104,vcFac--1929785723,1
dFac-1950995873,vcFac-695577948,1
dFac-1458993303,vcFac--366127121,1
dFac--528989944,vcFac--366127121,1
dFac--1502196576,vcFac--1181888648,1
dFac-1558821181,vcFac--1564603035,1
dFac-834072302,vcFac-1828845079,1
dFac--168404872,vcFac-1085181026,1
dFac--523195951,vcFac-1085181026,1
dFac-1236760927,vcFac-1828845079,1
dFac-1236760927,vcFac-401358381,1
dFac-1236760927,vcFac-1556990684,1
dFac--1437952428,vcFac--615803654,1
dFac--1437952428,vcFac-401358381,1
dFac--1437952428,vcFac-1556990684,1
dFac--1437952428,vcFac--1389275851,1
dFac--182297095,vcFac-1453926299,1
dFac--182297095,vcFac-1085181026,1
dFac--1529088087,vcFac--1165594343,1
dFac--1533579724,vcFac--1165594343,1
dFac-331927800,vcFac--1781485739,1
dFac--378708487,vcFac-401358381,1
dFac--168404872,vcFac-1784339362,1
dFac--378708487,vcFac--1564603035,1
dFac--378708487,vcFac-1085181026,1
dFac--1204876692,vcFac-1556990684,1
dFac--1193261045,vcFac--1165594343,1
dFac-1374321632,vcFac--615803654,1
dFac-1722396941,vcFac--615803654,1
dFac-968623898,vcFac--2114974063,1
dFac-968623898,vcFac-695577948,1
dFac--1082360417,vcFac--1389275851,1
dFac--1808019806,vcFac--1165594343,1
dFac--1808019806,vcFac-401358381,1
dFac-958597443,vcFac--1181888648,1
dFac-958597443,vcFac--1389275851,1
